Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit_percentage,,Total profit,286397.0217
Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,0.015374322,,,
Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,0,165.3813,0.057745468,,,
Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,-0.040403912,,,
First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,0,18.3456,0.006405653,,,
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,0,13.878,0.004845721,,,
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,0,63.4368,0.022149951,,,
First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,0,51.759,0.018072464,,,
First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,7,0,19.7316,0.006889597,,,
Second Class,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,-0.002995632,,,
Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.682,-0.142348547,,,
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,-0.000639252,,,
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.992,7,0.2,30.499,0.010649203,,,
Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,2,0.2,-9.1602,-0.003198427,,,
Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,0,26.2416,0.009162665,,,
First Class,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,-11.994,-0.004187893,,,
First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,0.2,29.364,0.0102529,,,
First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,0.002434802,,,
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,3,0,9.6192,0.003358694,,,
Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,1,0,16.6568,0.005815982,,,
Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,11.52,4,0,3.456,0.001206716,,,
Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2,0,1.9698,0.000687786,,,
Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,3,0.2,26.6616,0.009309315,,,
Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,6,0,18.4464,0.006440849,,,
Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,14,0,20.6976,0.007226891,,,
Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,0.2,10.35,0.003613864,,,
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,3,0,2.3814,0.000831503,,,
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,0,5.1042,0.001782211,,,
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,3,0,68.976,0.024084049,,,
Standard Class,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,0,218.2518,0.07620603,,,
Standard Class,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,7,0,20.1579,0.007038446,,,
Standard Class,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.888,4,0.2,12.9096,0.004507589,,,
Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0,103.8015,0.036243917,,,
Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0,5.9988,0.002094575,,,
Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,0,585.552,0.20445464,,,
Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,0,80.6285,0.028152702,,,
First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.766,0.006203277,,,
First Class,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.184,2,0.2,15.2388,0.005320865,,,
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,7,0,26.271,0.009172931,,,
First Class,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,4,0,48.5392,0.016948221,,,
First Class,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,6,0,21.0288,0.007342534,,,
Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,3,0,1.7901,0.000625041,,,
Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,2,0.2,51.4764,0.01797379,,,
Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,0,6.8714,0.002399257,,,
Standard Class,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,0,236.2325,0.082484273,,,
First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0,2.691,0.000939605,,,
Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2,0.2,1.3596,0.000474726,,,
Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,0,13.348,0.004660663,,,
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.688,0.003382717,,,
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,3,0.2,2.7324,0.00095406,,,
Standard Class,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.952,8,0.4,-1359.992,-0.47486248,,,
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,-0.020473223,,,
Standard Class,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,-0.00867956,,,
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,6,0.2,6.8136,0.002379075,,,
Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,-0.158468478,,,
Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,3,0.2,8.9985,0.003141967,,,
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,3,0,9.8418,0.003436418,,,
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,2,0,53.2608,0.018596841,,,
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,7,0.2,21.259,0.007422912,,,
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,-0.045782599,,,
Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,4,0.2,6.552,0.002287733,,,
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16,-0.084903118,,,
Second Class,Consumer,Newark,Ohio,East,Furniture,Chairs,396.802,7,0.3,-11.3372,-0.003958561,,,
Second Class,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,-0.001316878,,,
Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,3.28,1,0,1.4104,0.000492463,,,
Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,0.000649867,,,
Second Class,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.744,7,0.2,76.6395,0.02675988,,,
Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,4,0,131.0296,0.045751034,,,
Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,5,0,41.986,0.014660069,,,
Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,29,2,0,7.25,0.002531451,,,
Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,2,0,3.4368,0.001200012,,,
Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,8,0,22.984,0.008025223,,,
Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224,3,0.2,3.7224,0.001299734,,,
Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,3,0.2,6.255,0.002184031,,,
First Class,Home Office,New York City,New York,East,Furniture,Bookcases,899.136,4,0.2,112.392,0.039243425,,,
First Class,Home Office,New York City,New York,East,Technology,Phones,71.76,6,0,20.0928,0.007015715,,,
First Class,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,8,0,24.8832,0.008688359,,,
First Class,Home Office,New York City,New York,East,Furniture,Bookcases,626.352,3,0.2,46.9764,0.016402545,,,
First Class,Home Office,New York City,New York,East,Office Supplies,Art,19.9,5,0,6.567,0.002292971,,,
Standard Class,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,7,0,6.7116,0.00234346,,,
Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.408,2,0.2,1.2038,0.000420326,,,
Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.048,3,0.2,1.5876,0.000554335,,,
Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,3,0,12.0276,0.004199625,,,
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,2,0.7,-2.2586,-0.000788626,,,
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.056,3,0.2,5.8203,0.002032249,,,
Standard Class,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.744,3,0.2,6.795,0.002372581,,,
First Class,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,2,0.5,-161.875,-0.056521188,,,
First Class,Consumer,Denver,Colorado,West,Office Supplies,Appliances,2.6,1,0.2,0.2925,0.000102131,,,
Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668,-0.062489058,,,
Standard Class,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.168,7,0.2,9.6712,0.003376851,,,
Standard Class,Consumer,Whittier,California,West,Technology,Phones,444.768,4,0.2,44.4768,0.01552977,,,
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,83.92,4,0,5.8744,0.002051139,,,
Standard Class,Consumer,Saginaw,Michigan,Central,Technology,Phones,131.98,2,0,35.6346,0.012442378,,,
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Binders,15.92,4,0,7.4824,0.002612597,,,
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.29,9,0,16.2099,0.00565994,,,
Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,91.99,1,0,3.6796,0.00128479,,,
Second Class,Corporate,Dallas,Texas,Central,Technology,Accessories,20.8,2,0.2,6.5,0.002269577,,,
Standard Class,Corporate,Medina,Ohio,East,Office Supplies,Labels,23.68,2,0.2,8.88,0.003100591,,,
Standard Class,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,5,0.5,-244.323,-0.085309197,,,
Standard Class,Corporate,Medina,Ohio,East,Technology,Phones,62.982,3,0.4,-14.6958,-0.005131268,,,
Standard Class,Corporate,Medina,Ohio,East,Technology,Machines,1188,9,0.7,-950.4,-0.331847026,,,
Standard Class,Corporate,Medina,Ohio,East,Technology,Accessories,89.584,2,0.2,4.4792,0.001563983,,,
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,93.06,6,0,26.0568,0.009098139,,,
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,302.376,3,0.2,22.6782,0.007918448,,,
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Fasteners,5.584,2,0.2,1.8148,0.000633666,,,
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Paper,22.704,6,0.2,8.2302,0.002873703,,,
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Binders,19.776,4,0.7,-13.8432,-0.00483357,,,
First Class,Consumer,Dublin,Ohio,East,Furniture,Furnishings,72.704,4,0.2,19.0848,0.006663756,,,
First Class,Consumer,Dublin,Ohio,East,Technology,Machines,479.988,4,0.7,-383.9904,-0.134076255,,,
First Class,Consumer,Dublin,Ohio,East,Office Supplies,Art,27.168,2,0.2,2.7168,0.000948613,,,
Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Art,2.2,1,0,0.968,0.000337992,,,
Standard Class,Corporate,Detroit,Michigan,Central,Furniture,Tables,622.45,5,0,136.939,0.047814394,,,
Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Storage,21.98,1,0,0.2198,7.67466E-05,,,
Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,161.568,2,0.2,-28.2744,-0.009872449,,,
Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,389.696,8,0.2,43.8408,0.015307701,,,
Standard Class,Corporate,Charlotte,North Carolina,South,Office Supplies,Binders,18.648,7,0.7,-12.432,-0.004340827,,,
Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,233.86,2,0.45,-102.048,-0.035631655,,,
Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,620.6145,3,0.45,-248.2458,-0.086678904,,,
Standard Class,Home Office,Tampa,Florida,South,Office Supplies,Binders,5.328,2,0.7,-3.552,-0.001240236,,,
Standard Class,Home Office,Tampa,Florida,South,Furniture,Furnishings,258.072,3,0.2,0,0,,,
Standard Class,Home Office,Tampa,Florida,South,Technology,Accessories,617.976,3,0.2,-7.7247,-0.0026972,,,
Standard Class,Corporate,Santa Clara,California,West,Office Supplies,Paper,10.56,2,0,4.752,0.001659235,,,
Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Paper,25.92,5,0.2,9.396,0.00328076,,,
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,419.68,5,0.6,-356.728,-0.124557161,,,
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,11.688,3,0.6,-4.6752,-0.001632419,,,
Second Class,Consumer,Chicago,Illinois,Central,Technology,Phones,31.984,2,0.2,11.1944,0.0039087,,,
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Tables,177.225,5,0.5,-120.513,-0.042078999,,,
Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,4.044,3,0.6,-2.8308,-0.000988418,,,
Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Art,7.408,2,0.2,1.2038,0.000420326,,,
Second Class,Home Office,Lakeville,Minnesota,Central,Furniture,Chairs,2001.86,7,0,580.5394,0.202704412,,,
Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Storage,166.72,2,0,41.68,0.014553224,,,
